Name,WAR,Name-additional
,,-9999
David Aardsma,0.7,aardsda01
Fernando Abad*,0.5,abadfe01
Jeremy Accardo,-0.2,accarje01
Alfredo Aceves,0.1,aceveal01
Manny Acosta,0.7,acostma01
Mike Adams,1.9,adamsmi03
Jeremy Affeldt*,-0.1,affelje01
Jonathan Albaladejo,0.1,albaljo01
Matt Albers,0.3,alberma01
Hector Ambriz,-0.3,ambrihe01
Brett Anderson*,1.9,anderbr04
Jake Arrieta,0.8,arrieja01
Bronson Arroyo,2.4,arroybr01
Scott Atchison,-0.3,atchisc01
Luis Atilano,-0.6,atilalu01
Mitch Atkins,-0.2,atkinmi01
John Axford,1.6,axforjo01
Burke Badenhop,0.4,badenbu01
Danys Báez,-0.5,baezda01
Andrew Bailey,2.1,bailean01
Homer Bailey,0.5,baileho02
Scott Baker,1.5,bakersc02
Collin Balester,0.4,balesco01
Grant Balfour,1.2,balfogr01
Josh Banks,-0.2,banksjo01
Brian Bannister,-0.2,bannibr01
Daniel Bard,3.1,bardda01
Brian Bass,-0.4,bassbr01
Antonio Bastardo*,0.1,bastaan01
Miguel Batista,0.8,batismi01
Denny Bautista,0.3,bautide01
Brandon Beachy,0.0,beachbr01
Josh Beckett,-1.0,beckejo02
Joe Beimel*,0.9,beimejo01
Ronald Belisario,-0.1,belisro01
Matt Belisle,1.9,belisma01
Heath Bell,1.9,bellhe01
Trevor Bell,-0.1,belltr01
Omar Beltre,-0.2,beltrom01
Joaquín Benoit,2.2,benoijo01
Kris Benson,-0.1,bensokr01
Justin Berg,-0.3,bergju01
Brad Bergesen,0.3,bergebr02
Jason Bergmann,-0.2,bergmja01
Jason Berken,1.3,berkeja01
Rafael Betancourt,1.2,betanra01
Chad Billingsley,3.6,billich01
Joe Bisenius,-0.2,bisenjo01
Nick Blackburn,-0.3,blackni01
Joe Blanton,0.0,blantjo01
Jerry Blevins*,0.5,blevije01
Mitchell Boggs,0.3,boggsmi01
Jeremy Bonderman,-1.2,bondeje01
Eddie Bonine,0.0,bonined01
Boof Bonser,-0.2,bonsebo01
Michael Bowden,0.1,bowdemi01
Cedrick Bowers*,-0.1,bowerce01
Blaine Boyer,-0.2,boyerbl01
Zach Braddock*,0.8,braddza01
Dallas Braden*,2.5,bradeda01
Bill Bray*,0.2,braybi01
Craig Breslow*,1.2,breslcr01
Jonathan Broxton,0.3,broxtjo01
Brian Bruney,-0.9,brunebr01
Clay Buchholz,5.6,buchhcl01
Taylor Buchholz,0.1,buchhta01
Billy Buckner,-0.7,bucknbi02
Mark Buehrle*,3.8,buehrma01
Jay Buente,-0.1,buentja01
Jason Bulger,-0.1,bulgeja01
Bryan Bullington,-0.1,bullibr01
Madison Bumgarner*,2.4,bumgama01
A.J. Burnett,-0.7,burnea.01
Alex Burnett,-0.1,burneal01
Sean Burnett*,2.0,burnese01
Brian Burres*,0.4,burrebr01
Jared Burton,0.1,burtoja01
Dave Bush,-1.1,bushda01
Tim Byrdak*,0.7,byrdati01
Fernando Cabrera,-0.4,cabrefe01
Trevor Cahill,3.9,cahiltr01
Matt Cain,4.1,cainma01
Shawn Camp,1.6,campsh01
Matt Capps,1.3,cappsma01
Chris Capuano*,0.8,capuach01
Esmailin Caridad,-0.6,carides01
Jesse Carlson*,0.1,carlsje01
Chris Carpenter,3.0,carpech01
Drew Carpenter,-0.1,carpean01
Carlos Carrasco,0.7,carraca01
D.J. Carrasco,0.5,carradj01
Kevin Cash,0.0,cashke01
Andrew Cashner,-0.1,cashnan01
Santiago Casilla,1.6,garcija01
Bobby Cassevah,0.0,cassebo01
Alberto Castillo*,-0.5,castial02
Brett Cecil*,2.2,cecilbr01
Jose Ceda,0.0,cedajo01
Gustavo Chacin*,-0.1,chacigu01
Jhoulys Chacín,2.6,chacijh01
Joba Chamberlain,0.1,chambjo03
Aroldis Chapman*,0.4,chapmar01
Jesse Chavez,-0.9,chaveje01
Bruce Chen*,2.9,chenbr01
Matt Chico*,0.1,chicoma01
Randy Choate*,-0.1,choatra01
Steve Cishek,0.2,cishest01
Tyler Clippard,1.6,clippty01
Robert Coello,0.0,coellro01
Todd Coffey,-0.9,coffeto01
Phil Coke*,0.5,cokeph01
Casey Coleman,0.9,colemca01
Jesus Colome,-0.1,colomje01
Roman Colon,-0.2,colonro01
José Contreras,0.9,contrjo01
Aaron Cook,0.3,cookaa01
Chad Cordero,-0.2,cordech01
Francisco Cordero,0.3,cordefr01
Lance Cormier,0.2,cormila01
Manny Corpas,0.1,corpama01
Kevin Correia,-1.7,correke01
Dan Cortes,0.0,corteda02
Jesse Crain,1.0,crainje01
Bobby Cramer*,0.5,cramebo01
Juan Cruz,0.2,cruzju02
Johnny Cueto,2.4,cuetojo01
Casey Daigle,-0.8,daiglca01
Matt Daley,0.2,daleyma01
John Danks*,5.2,danksjo01
Kyle Davies,1.2,davieky01
Doug Davis*,-1.2,davisdo02
Wade Davis,1.4,daviswa01
Jorge De La Rosa*,1.6,rosajo01
Sam Deduno,0.0,dedunsa01
Enerio Del Rosario,-0.1,delroen01
Rob Delaney,0.0,delanro01
Manny Delcarmen,0.0,delcama01
Sam Demel,-0.8,demelsa01
Ryan Dempster,2.7,dempsry01
Elmer Dessens,1.0,desseel01
Ross Detwiler*,-0.4,detwiro01
Thomas Diamond,-0.4,diamoth01
R.A. Dickey,3.6,dicker.01
Brendan Donnelly,-0.4,donnebr01
Octavio Dotel,0.4,doteloc01
Felix Doubront*,-0.1,doubrfe01
Scott Downs*,1.8,downssc01
Kyle Drabek,0.1,drabeky01
Justin Duchscherer,0.3,duchsju01
Brian Duensing*,3.6,duensbr01
Zach Duke*,-1.1,dukeza01
Mike Dunn*,0.5,dunnmi01
Chad Durbin,0.7,durbich01
Mike Ekstrom,0.2,ekstrmi01
Scott Elbert*,0.0,elbersc01
John Ely,-0.3,elyjo01
Jesse English*,0.1,englije01
Barry Enright,1.5,enrigba01
Edgmer Escalona,0.2,escaled01
Marco Estrada,-0.6,estrama01
Dana Eveland*,-0.9,evelada01
Kyle Farnsworth,1.3,farnsky01
Scott Feldman,-0.9,feldmsc01
Pedro Feliciano*,0.9,felicpe01
Neftalí Feliz,2.5,felizne01
Casey Fien,-0.1,fienca01
Alfredo Figaro,-0.4,figaral01
Nelson Figueroa,1.6,figuene01
Carlos Fisher,-0.2,fisheca01
Doug Fister,1.2,fistedo01
Randy Flores*,0.7,florera01
Gavin Floyd,3.3,floydga01
Matt Fox,0.0,foxma01
Jeff Francis*,0.4,francje01
Frank Francisco,0.8,francfr01
Ryan Franklin,0.7,frankry01
Jason Frasor,0.7,frasoja01
Luke French*,0.4,frenclu01
Ernesto Frieri,0.7,frierer01
Brian Fuentes*,0.9,fuentbr01
Jeff Fulchino,-0.3,fulchje01
Armando Gabino,-0.3,gabinar01
Armando Galarraga,1.0,galarar01
Sean Gallagher,-0.7,gallase01
Yovani Gallardo,1.9,gallayo01
Freddy Garcia,2.1,garcifr03
Jaime García*,2.7,garcija02
Jon Garland,1.3,garlajo01
Matt Garza,1.6,garzama01
Chad Gaudin,-1.0,gaudich01
Dillon Gee,0.9,geedi01
Justin Germano,0.3,germaju01
Sammy Gervacio,-0.3,gervasa01
Jeanmar Gómez,-0.3,gomezje01
Enrique Gonzalez,0.3,gonzaen01
Gio Gonzalez*,3.9,gonzagi01
Mike Gonzalez*,0.4,gonzami02
Tom Gorzelanny*,2.0,gorzeto01
John Grabow*,-0.9,grabojo02
Jeff Gray,-0.3,grayje02
Sean Green,-0.2,greense01
Luke Gregerson,0.4,gregelu01
Kevin Gregg,1.0,greggke01
Zack Greinke,3.5,greinza01
Matt Guerrier,1.1,guerrma02
Jeremy Guthrie,4.5,guthrje01
J.C. Gutierrez,-0.5,gutieju01
