Name,WAR,Name-additional
,,-9999
David Aardsma,0.0,aardsda01
Fernando Abad*,0.0,abadfe01
Bobby Abreu*,1.9,abreubo01
Tony Abreu#,-1.3,abreuto01
Jeremy Accardo,,accarje01
Alfredo Aceves,0.0,aceveal01
Manny Acosta,0.0,acostma01
Mike Adams,0.0,adamsmi03
Jeremy Affeldt*,0.0,affelje01
Jonathan Albaladejo,,albaljo01
Matt Albers*,0.0,alberma01
Cory Aldridge*,-0.2,aldrico01
Eliezer Alfonzo,-0.2,alfonel01
Brandon Allen*,0.3,allenbr01
Yonder Alonso*,0.0,alonsyo01
Pedro Álvarez*,0.6,alvarpe01
Hector Ambriz*,0.0,ambrihe01
Brett Anderson*,,anderbr04
Bryan Anderson*,-0.1,anderbr05
Garret Anderson*,-1.1,anderga01
Lars Anderson*,-0.1,anderla03
Robert Andino,0.3,andinro01
Elvis Andrus,1.2,andruel01
Rick Ankiel*,0.5,ankieri01
J.P. Arencibia,-0.2,arencjp01
Joaquin Arias,-0.5,ariasjo01
Jake Arrieta,0.0,arrieja01
Bronson Arroyo,0.0,arroybr01
Scott Atchison,0.0,atchisc01
Luis Atilano,-0.3,atilalu01
Garrett Atkins,-1.3,atkinga01
Mitch Atkins,0.0,atkinmi01
Brad Ausmus,-0.1,ausmubr01
Alex Avila*,0.1,avilaal01
Mike Aviles,1.5,avilemi01
John Axford,0.0,axforjo01
Erick Aybar#,2.2,aybarer01
Willy Aybar#,0.1,aybarwi01
Burke Badenhop,0.0,badenbu01
Danys Báez,0.0,baezda01
Andrew Bailey,0.0,bailean01
Homer Bailey,0.2,baileho02
Jeff Baker,0.5,bakerje03
John Baker*,-0.3,bakerjo01
Scott Baker,-0.1,bakersc02
Rocco Baldelli,0.0,baldero01
Collin Balester,0.0,balesco01
Grant Balfour,0.0,balfogr01
Josh Banks,,banksjo01
Brian Bannister,0.0,bannibr01
Rod Barajas,0.8,barajro01
Daniel Bard,0.0,bardda01
Josh Bard#,0.0,bardjo01
Brian Barden,-0.2,bardebr01
Clint Barmes,1.1,barmecl01
Darwin Barney,0.5,barneda01
Jason Bartlett,2.5,bartlja01
Daric Barton*,5.5,bartoda02
Brian Bass,0.0,bassbr01
Antonio Bastardo,0.0,bastaan01
Miguel Batista,0.0,batismi01
Denny Bautista,0.1,bautide01
José Bautista,7.0,bautijo02
Mike Baxter*,-0.2,baxtemi01
Jason Bay,1.8,bayja01
Brandon Beachy,0.0,beachbr01
Josh Beckett,,beckejo02
Gordon Beckham,0.7,beckhgo01
Joe Beimel*,0.0,beimejo01
Ronald Belisario,0.0,belisro01
Matt Belisle,0.1,belisma01
Heath Bell,0.0,bellhe01
Josh Bell#,-0.1,belljo01
Trevor Bell*,0.0,belltr01
Ronnie Belliard,-0.4,belliro01
Carlos Beltrán#,0.7,beltrca01
Adrián Beltré,7.8,beltrad01
Omar Beltre,,beltrom01
Joaquín Benoit,0.0,benoijo01
Kris Benson,0.0,bensokr01
Justin Berg,0.0,bergju01
Brad Bergesen*,0.0,bergebr02
Jason Bergmann,0.0,bergmja01
Jason Berken,0.0,berkeja01
Lance Berkman#,1.4,berkmla01
Roger Bernadina*,0.6,bernaro01
Rafael Betancourt,0.0,betanra01
Yuniesky Betancourt,-0.9,betanyu01
Wilson Betemit#,1.1,betemwi01
Chad Billingsley,0.2,billich01
Joe Bisenius,0.0,bisenjo01
Nick Blackburn,0.0,blackni01
Casey Blake,2.7,blakeca01
Hank Blalock*,0.1,blaloha01
Andrés Blanco#,0.2,blancan01
Grégor Blanco*,1.1,blancgr01
Henry Blanco,0.0,blanche01
Kyle Blanks,0.2,blankky01
Joe Blanton,-0.2,blantjo01
Jerry Blevins*,0.0,blevije01
Willie Bloomquist,-0.9,bloomwi01
Geoff Blum#,0.2,blumge01
Brian Bocock,-0.1,bococbr01
Brennan Boesch*,0.9,boescbr01
Brandon Boggs#,-0.4,boggsbr01
Mitchell Boggs,0.0,boggsmi01
Brian Bogusevic*,-0.1,bogusbr01
Jeremy Bonderman,0.0,bondeje01
Emilio Bonifácio#,1.1,bonifem01
Eddie Bonine,0.0,bonined01
Boof Bonser,,bonsebo01
Julio Borbon*,1.5,borboju01
J.C. Boscan,0.0,boscajc01
Jason Bourgeois,-0.3,bourgja01
Peter Bourjos,1.5,bourjpe01
Michael Bourn*,5.5,bournmi01
Michael Bowden,,bowdemi01
Cedrick Bowers#,0.0,bowerce01
John Bowker*,0.2,bowkejo01
Blaine Boyer,0.0,boyerbl01
Zach Braddock*,0.0,braddza01
Dallas Braden*,0.0,bradeda01
