Name,G,GS,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,Name-additional
,,,,,,,,,,,,,,-9999
Cory Abbott,16,9,16,0,0,0,0,0,0,0,0,0,0,abbotco01
CJ Abrams,90,78,0,0,0,13,0,75,0,0,3,3,2,abramcj01
Albert Abreu,33,0,33,0,0,0,0,0,0,0,0,0,0,abreual01
Bryan Abreu,55,0,55,0,0,0,0,0,0,0,0,0,0,abreubr01
José Abreu,157,157,0,0,128,0,0,0,0,0,0,0,29,abreujo02
Domingo Acevedo,70,0,70,0,0,0,0,0,0,0,0,0,0,acevedo01
Ronald Acuna Jr.,119,115,0,0,0,0,0,0,0,1,92,92,27,acunaro01
Jason Adam,67,0,67,0,0,0,0,0,0,0,0,0,0,adamja01
Willy Adames,139,138,0,0,0,0,0,136,0,0,0,0,2,adamewi01
Austin Adams,2,0,2,0,0,0,0,0,0,0,0,0,0,adamsau02
Riley Adams,48,43,0,44,1,0,0,0,0,0,0,0,2,adamsri03
Jo Adell,88,71,0,0,0,0,0,0,69,0,15,84,1,adelljo01
Joan Adon,14,14,14,0,0,0,0,0,0,0,0,0,0,adonjo01
Ehire Adrianza,37,26,1,0,0,8,19,3,9,0,0,9,1,adriaeh01
Jesús Aguilar,129,118,0,0,63,0,4,0,0,0,0,0,60,aguilje01
Ryan Aguilar,7,6,0,0,1,0,0,0,2,1,5,7,0,aguilry01
Nick Ahmed,17,15,0,0,0,0,0,16,0,0,0,0,1,ahmedni01
Keegan Akin,45,1,45,0,0,0,0,0,0,0,0,0,0,akinke01
Hanser Alberto,73,38,10,0,3,37,20,5,0,0,1,1,5,alberha01
Ozzie Albies,64,63,0,0,0,64,0,0,0,0,0,0,0,albieoz01
Jorge Alcala,2,0,2,0,0,0,0,0,0,0,0,0,0,alcaljo01
Sandy Alcantara,32,32,32,0,0,0,0,0,0,0,0,0,0,alcansa01
Sergio Alcántara,93,57,0,0,0,25,41,28,0,0,0,0,5,alcanse01
Jason Alexander,18,11,18,0,0,0,0,0,0,0,0,0,0,alexaja01
Scott Alexander,17,4,17,0,0,0,0,0,0,0,0,0,0,alexasc02
Tyler Alexander,27,17,27,0,0,0,0,0,0,0,0,0,0,alexaty01
A.J. Alexy,4,0,4,0,0,0,0,0,0,0,0,0,0,alexyaj01
Jorge Alfaro,82,68,0,65,0,0,0,0,0,0,0,0,11,alfarjo01
Anthony Alford,2,1,0,0,0,0,0,0,1,1,1,2,0,alforan01
Kolby Allard,10,0,10,0,0,0,0,0,0,0,0,0,0,allarko01
Cam Alldred,1,0,1,0,0,0,0,0,0,0,0,0,0,alldrca01
Austin Allen,5,5,0,4,0,0,0,0,0,0,0,0,1,allenau01
Greg Allen,46,33,0,0,0,0,0,0,23,11,13,43,1,allengr01
Logan Allen,7,0,7,0,0,0,0,0,0,0,0,0,0,allenlo01
Nick Allen,100,92,0,0,0,43,0,60,0,0,0,0,0,allenni02
Abraham Almonte,15,7,0,0,0,0,0,0,3,5,1,9,2,almonab01
Yency Almonte,33,0,33,0,0,0,0,0,0,0,0,0,0,almonye01
Albert Almora,64,60,0,0,0,0,0,0,17,23,28,62,1,almoral01
Pete Alonso,160,160,0,0,134,0,0,0,0,0,0,0,27,alonspe01
Jose Altuve,141,137,0,0,0,136,0,0,0,0,0,0,2,altuvjo01
José Alvarado,59,0,59,0,0,0,0,0,0,0,0,0,0,alvarjo03
Eddy Alvarez,14,9,0,0,0,0,5,1,1,0,5,6,2,alvared01
Francisco Alvarez,5,2,0,2,0,0,0,0,0,0,0,0,3,alvarfr01
Jose Alvarez,21,0,21,0,0,0,0,0,0,0,0,0,0,alvarjo02
R.J. Alvarez,1,0,1,0,0,0,0,0,0,0,0,0,0,alvarrj01
Yordan Alvarez,135,133,0,0,0,0,0,0,56,0,0,56,77,alvaryo01
Adbert Alzolay,6,0,6,0,0,0,0,0,0,0,0,0,0,alzolad01
Brian Anderson,98,92,0,0,0,1,48,0,8,0,36,44,9,anderbr06
Chase Anderson,9,7,9,0,0,0,0,0,0,0,0,0,0,anderch01
Ian Anderson,22,22,22,0,0,0,0,0,0,0,0,0,0,anderia01
Shaun Anderson,1,0,1,0,0,0,0,0,0,0,0,0,0,andersh01
Tim Anderson,79,79,0,0,0,0,0,79,0,0,0,0,0,anderti01
Tyler Anderson,31,28,30,0,0,0,0,0,0,0,0,0,0,anderty01
Elvis Andrus,149,143,0,0,0,0,0,143,0,0,0,0,4,andruel01
Miguel Andujar,36,33,0,0,1,0,0,0,23,0,0,23,13,andujmi01
Mark Appel,6,0,6,0,0,0,0,0,0,0,0,0,0,appelma01
Aristides Aquino,80,70,0,0,0,0,0,0,7,2,69,78,1,aquinar01
Jonathan Aranda,32,21,0,0,11,13,6,0,1,0,0,1,2,arandjo01
Víctor Arano,43,0,43,0,0,0,0,0,0,0,0,0,0,aranovi01
Jonathan Araúz,15,12,0,0,0,4,6,4,0,0,0,0,0,arauzjo01
Chris Archer,25,25,25,0,0,0,0,0,0,0,0,0,0,archech01
Orlando Arcia,68,60,1,0,0,50,4,1,6,0,0,6,7,arciaor01
Nolan Arenado,148,147,0,0,0,0,131,0,0,0,0,0,17,arenano01
Gabriel Arias,16,14,0,0,1,3,9,3,0,0,0,0,0,ariasga01
Kohei Arihara,5,4,5,0,0,0,0,0,0,0,0,0,0,arihako01
Shawn Armstrong,50,2,50,0,0,0,0,0,0,0,0,0,0,armstsh01
Randy Arozarena,153,150,0,0,0,0,0,0,104,0,26,126,27,arozara01
Luis Arraez,144,129,0,0,65,41,7,0,0,0,0,0,38,arraelu01
Christian Arroyo,87,76,0,0,9,40,10,14,0,0,17,17,5,arroych01
Aaron Ashby,27,19,27,0,0,0,0,0,0,0,0,0,0,ashbyaa01
Graham Ashcraft,19,19,19,0,0,0,0,0,0,0,0,0,0,ashcrgr01
Javier Assad,9,8,9,0,0,0,0,0,0,0,0,0,0,assadja01
Willians Astudillo,21,12,2,0,3,8,10,0,0,0,0,0,1,astudwi01
